cpu_assignment,budget_on_period(us),max_latency(ns),max_latency(us)
many_to_many,5k/10k,125450,125
many_to_many,5k/10k,122410,122
many_to_many,3k/9k,121370,121
many_to_many,5k/10k,118590,119
many_to_many,5k/10k,117980,118
many_to_many,3k/9k,112580,113
many_to_many,10k/10k,112570,113
many_to_many,5k/10k,111830,112
many_to_many,10k/10k,110780,111
many_to_many,10k/10k,109740,110
many_to_many,3k/9k,108550,109
many_to_many,3k/9k,108430,108
many_to_many,3k/9k,105870,106
many_to_many,3k/9k,103940,104
many_to_many,3k/9k,100950,101
many_to_many,3k/9k,100570,101
many_to_many,3k/9k,99310,99
many_to_many,3k/9k,98590,99
many_to_many,3k/9k,97600,98
many_to_many,3k/9k,96670,97
many_to_many,10k/10k,95820,96
many_to_many,3k/9k,95670,96
many_to_many,3k/9k,95020,95
many_to_many,5k/10k,94710,95
many_to_many,10k/10k,94680,95
many_to_many,5k/10k,94570,95
many_to_many,3k/9k,93980,94
many_to_many,3k/9k,93640,94
many_to_many,3k/9k,92010,92
many_to_many,10k/10k,91130,91
many_to_many,5k/10k,91030,91
one_to_one,5k/10k,90300,90
many_to_many,10k/10k,89670,90
many_to_many,3k/9k,89560,90
many_to_many,3k/9k,89540,90
many_to_many,5k/10k,89030,89
many_to_many,5k/10k,88910,89
many_to_many,3k/9k,88470,88
many_to_many,3k/9k,88200,88
one_to_one,3k/9k,88120,88
many_to_many,10k/10k,87890,88
many_to_many,3k/9k,87790,88
many_to_many,3k/9k,87750,88
one_to_one,10k/10k,87220,87
one_to_one,10k/10k,86710,87
one_to_one,1k/5k,86530,87
many_to_many,5k/10k,85780,86
one_to_one,1k/5k,85380,85
many_to_many,5k/10k,85370,85
one_to_one,10k/10k,84910,85
many_to_many,3k/9k,84830,85
many_to_many,3k/9k,84820,85
one_to_one,10k/10k,84650,85
many_to_many,3k/9k,84000,84
many_to_many,3k/9k,83560,84
many_to_many,5k/10k,83490,83
one_to_one,1k/5k,83260,83
many_to_many,5k/10k,82490,82
many_to_many,3k/9k,81060,81
many_to_many,5k/10k,79990,80
many_to_many,1k/5k,79240,79
one_to_one,5k/10k,79170,79
many_to_many,1k/5k,78870,79
many_to_many,5k/10k,78780,79
many_to_many,5k/10k,78730,79
many_to_many,1k/5k,78680,79
many_to_many,1k/5k,78560,79
many_to_many,1k/5k,78490,78
many_to_many,1k/5k,78380,78
many_to_many,1k/5k,78370,78
one_to_one,10k/10k,78190,78
many_to_many,1k/5k,78140,78
many_to_many,1k/5k,77980,78
many_to_many,10k/10k,77810,78
many_to_many,1k/5k,77640,78
many_to_many,1k/5k,77430,77
many_to_many,1k/5k,77310,77
many_to_many,1k/5k,77240,77
many_to_many,1k/5k,77130,77
many_to_many,1k/5k,76850,77
many_to_many,1k/5k,76780,77
many_to_many,1k/5k,76600,77
many_to_many,1k/5k,76240,76
many_to_many,1k/5k,76160,76
one_to_one,1k/5k,75860,76
many_to_many,1k/5k,75790,76
one_to_one,5k/10k,75700,76
many_to_many,1k/5k,75490,75
many_to_many,1k/5k,75410,75
many_to_many,1k/5k,75250,75
many_to_many,1k/5k,75140,75
many_to_many,1k/5k,75100,75
many_to_many,10k/10k,75090,75
many_to_many,1k/5k,75080,75
many_to_many,1k/5k,74880,75
many_to_many,1k/5k,74630,75
many_to_many,10k/10k,74470,74
one_to_one,3k/9k,74330,74
many_to_many,1k/5k,74240,74
many_to_many,10k/10k,74220,74
one_to_one,1k/5k,73960,74
many_to_many,1k/5k,73660,74
one_to_one,1k/5k,73630,74
one_to_one,1k/5k,73280,73
one_to_one,1k/5k,73080,73
one_to_one,3k/9k,72600,73
one_to_one,1k/5k,72590,73
one_to_one,1k/5k,72490,72
one_to_one,3k/9k,72320,72
one_to_one,3k/9k,72110,72
one_to_one,3k/9k,72100,72
one_to_one,3k/9k,72080,72
one_to_one,1k/5k,71820,72
one_to_one,1k/5k,71640,72
one_to_one,10k/10k,71640,72
one_to_one,10k/10k,71530,72
one_to_one,10k/10k,71530,72
one_to_one,5k/10k,71500,72
one_to_one,5k/10k,71450,71
one_to_one,5k/10k,71350,71
one_to_one,3k/9k,71320,71
one_to_one,1k/5k,71280,71
one_to_one,3k/9k,71240,71
one_to_one,5k/10k,71200,71
one_to_one,10k/10k,71200,71
one_to_one,5k/10k,71170,71
many_to_many,3k/9k,71050,71
one_to_one,3k/9k,71040,71
one_to_one,1k/5k,70980,71
one_to_one,1k/5k,70960,71
one_to_one,5k/10k,70940,71
one_to_one,1k/5k,70850,71
one_to_one,3k/9k,70840,71
one_to_one,10k/10k,70820,71
one_to_one,5k/10k,70770,71
one_to_one,3k/9k,70740,71
one_to_one,10k/10k,70710,71
one_to_one,10k/10k,70630,71
one_to_one,1k/5k,70610,71
one_to_one,5k/10k,70590,71
one_to_one,10k/10k,70580,71
one_to_one,1k/5k,70540,71
one_to_one,1k/5k,70460,70
one_to_one,5k/10k,70440,70
one_to_one,10k/10k,70430,70
one_to_one,1k/5k,70360,70
