cpu_assignment,ratelimit(us),max_latency(ns),max_latency(us)
one_to_one,1000,41430,41
one_to_one,1000,40520,41
one_to_one,1000,43150,43
one_to_one,1000,40000,40
one_to_one,1000,42310,42
one_to_one,5000,41020,41
one_to_one,5000,42620,43
one_to_one,5000,40620,41
one_to_one,5000,41880,42
one_to_one,5000,42600,43
one_to_one,5000,42270,42
one_to_one,5000,42270,42
one_to_one,5000,42130,42
one_to_one,5000,54670,55
one_to_one,5000,41870,42
one_to_one,5000,40790,41
one_to_one,5000,44310,44
one_to_one,5000,41480,41
one_to_one,5000,40390,40
one_to_one,5000,41830,42
one_to_one,5000,40400,40
one_to_one,5000,42940,43
one_to_one,5000,40420,40
one_to_one,5000,42340,42
one_to_one,5000,40150,40
one_to_one,5000,42540,43
one_to_one,5000,41200,41
one_to_one,5000,42580,43
one_to_one,5000,41210,41
one_to_one,5000,39520,40
one_to_one,5000,41180,41
one_to_one,5000,43130,43
one_to_one,5000,43810,44
one_to_one,5000,43070,43
one_to_one,5000,42900,43
