disturb,scheduler,max_latency(ns),max_latency(us)
cpu_disturb,rtds,89540,90
nodisturb,rtds,89500,90
cpu_disturb,rtds,89030,89
cpu_disturb,rtds,88910,89
nodisturb,rtds,88690,89
cpu_disturb,rtds,88470,88
cpu_disturb,rtds,88200,88
nodisturb,rtds,88140,88
cpu_disturb,rtds,87890,88
cpu_disturb,rtds,87790,88
cpu_disturb,rtds,87750,88
nodisturb,credit2,87570,88
cpu_disturb,rtds,85780,86
nodisturb,rtds,85580,86
cpu_disturb,rtds,85370,85
nodisturb,rtds,85250,85
cpu_disturb,rtds,84830,85
cpu_disturb,rtds,84820,85
nodisturb,rtds,84720,85
cpu_disturb,rtds,84000,84
cpu_disturb,credit2,83860,84
nodisturb,rtds,83770,84
cpu_disturb,rtds,83560,84
cpu_disturb,rtds,83490,83
cpu_disturb,rtds,82490,82
cpu_disturb,credit2,82180,82
cpu_disturb,rtds,81060,81
nodisturb,rtds,80090,80
cpu_disturb,rtds,79990,80
cpu_disturb,rtds,79240,79
cpu_disturb,rtds,78870,79
cpu_disturb,rtds,78780,79
cpu_disturb,rtds,78730,79
cpu_disturb,rtds,78680,79
cpu_disturb,rtds,78560,79
nodisturb,rtds,78550,79
cpu_disturb,rtds,78490,78
cpu_disturb,rtds,78380,78
cpu_disturb,rtds,78370,78
cpu_disturb,rtds,78140,78
nodisturb,rtds,78130,78
cpu_disturb,rtds,77980,78
cpu_disturb,rtds,77810,78
cpu_disturb,rtds,77640,78
cpu_disturb,rtds,77430,77
cpu_disturb,rtds,77310,77
cpu_disturb,rtds,77240,77
cpu_disturb,rtds,77130,77
cpu_disturb,rtds,76850,77
cpu_disturb,rtds,76780,77
cpu_disturb,rtds,76600,77
cpu_disturb,rtds,76240,76
cpu_disturb,rtds,76160,76
cpu_disturb,rtds,75790,76
nodisturb,rtds,75690,76
nodisturb,rtds,75690,76
cpu_disturb,rtds,75490,75
cpu_disturb,rtds,75410,75
cpu_disturb,rtds,75250,75
cpu_disturb,rtds,75140,75
cpu_disturb,rtds,75100,75
cpu_disturb,rtds,75090,75
cpu_disturb,rtds,75080,75
cpu_disturb,rtds,74880,75
cpu_disturb,rtds,74630,75
cpu_disturb,rtds,74470,74
cpu_disturb,rtds,74240,74
cpu_disturb,rtds,74220,74
nodisturb,rtds,74090,74
nodisturb,rtds,73850,74
cpu_disturb,rtds,73660,74
cpu_disturb,credit2,72740,73
nodisturb,rtds,71600,72
nodisturb,rtds,71380,71
cpu_disturb,rtds,71050,71
nodisturb,rtds,70390,70
nodisturb,rtds,69630,70
cpu_disturb,rtds,68110,68
nodisturb,rtds,67200,67
nodisturb,credit2,66910,67
nodisturb,rtds,66900,67
nodisturb,rtds,66500,67
nodisturb,rtds,66210,66
nodisturb,credit2,66070,66
nodisturb,credit2,65640,66
nodisturb,rtds,65560,66
nodisturb,rtds,65330,65
nodisturb,rtds,64930,65
nodisturb,credit2,64710,65
nodisturb,rtds,64710,65
cpu_disturb,rtds,64360,64
nodisturb,credit2,64310,64
